2015-12-30 18:42:31 install login <none> 1:4.1.1-6+lenny1
2015-12-30 18:42:31 status half-installed login 1:4.1.1-6+lenny1
2015-12-30 18:42:32 status unpacked login 1:4.1.1-6+lenny1
2015-12-30 18:42:32 status unpacked login 1:4.1.1-6+lenny1
2015-12-30 18:42:32 install passwd <none> 1:4.1.1-6+lenny1
2015-12-30 18:42:32 status half-installed passwd 1:4.1.1-6+lenny1
2015-12-30 18:42:32 status unpacked passwd 1:4.1.1-6+lenny1
2015-12-30 18:42:32 status unpacked passwd 1:4.1.1-6+lenny1
2015-12-30 18:42:32 install libslang2 <none> 2.1.3-3
2015-12-30 18:42:32 status half-installed libslang2 2.1.3-3
2015-12-30 18:42:32 status unpacked libslang2 2.1.3-3
2015-12-30 18:42:32 status unpacked libslang2 2.1.3-3
2015-12-30 18:42:33 install initscripts <none> 2.86.ds1-61
2015-12-30 18:42:33 status half-installed initscripts 2.86.ds1-61
2015-12-30 18:42:33 status unpacked initscripts 2.86.ds1-61
2015-12-30 18:42:33 status unpacked initscripts 2.86.ds1-61
2015-12-30 18:42:33 install sysv-rc <none> 2.86.ds1-61
2015-12-30 18:42:33 status half-installed sysv-rc 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysv-rc 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysv-rc 2.86.ds1-61
2015-12-30 18:42:33 install sysvinit-utils <none> 2.86.ds1-61
2015-12-30 18:42:33 status half-installed sysvinit-utils 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysvinit-utils 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysvinit-utils 2.86.ds1-61
2015-12-30 18:42:33 install sysvinit <none> 2.86.ds1-61
2015-12-30 18:42:33 status half-installed sysvinit 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysvinit 2.86.ds1-61
2015-12-30 18:42:33 status unpacked sysvinit 2.86.ds1-61
2015-12-30 18:42:33 install tar <none> 1.20-1+lenny1
2015-12-30 18:42:33 status half-installed tar 1.20-1+lenny1
2015-12-30 18:42:34 status unpacked tar 1.20-1+lenny1
2015-12-30 18:42:34 status unpacked tar 1.20-1+lenny1
2015-12-30 18:42:34 install tzdata <none> 2011k-0lenny1
2015-12-30 18:42:34 status half-installed tzdata 2011k-0lenny1
2015-12-30 18:42:35 status unpacked tzdata 2011k-0lenny1
2015-12-30 18:42:35 status unpacked tzdata 2011k-0lenny1
2015-12-30 18:42:35 install bsdutils <none> 1:2.13.1.1-1
2015-12-30 18:42:35 status half-installed bsdutils 1:2.13.1.1-1
2015-12-30 18:42:35 status unpacked bsdutils 1:2.13.1.1-1
2015-12-30 18:42:35 status unpacked bsdutils 1:2.13.1.1-1
2015-12-30 18:42:35 install mount <none> 2.13.1.1-1
2015-12-30 18:42:35 status half-installed mount 2.13.1.1-1
2015-12-30 18:42:36 status unpacked mount 2.13.1.1-1
2015-12-30 18:42:36 status unpacked mount 2.13.1.1-1
2015-12-30 18:42:36 install util-linux <none> 2.13.1.1-1
2015-12-30 18:42:36 status half-installed util-linux 2.13.1.1-1
2015-12-30 18:42:36 status unpacked util-linux 2.13.1.1-1
2015-12-30 18:42:36 status unpacked util-linux 2.13.1.1-1
2015-12-30 18:42:36 install zlib1g <none> 1:1.2.3.3.dfsg-12
2015-12-30 18:42:36 status half-installed zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:36 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:36 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:36 startup packages configure
2015-12-30 18:42:36 configure sysv-rc 2.86.ds1-61 2.86.ds1-61
2015-12-30 18:42:36 status unpacked sysv-rc 2.86.ds1-61
2015-12-30 18:42:36 status half-configured sysv-rc 2.86.ds1-61
2015-12-30 18:42:37 status installed sysv-rc 2.86.ds1-61
2015-12-30 18:42:37 configure gcc-4.2-base 4.2.4-6 4.2.4-6
2015-12-30 18:42:37 status unpacked gcc-4.2-base 4.2.4-6
2015-12-30 18:42:37 status half-configured gcc-4.2-base 4.2.4-6
2015-12-30 18:42:37 status installed gcc-4.2-base 4.2.4-6
2015-12-30 18:42:37 configure libpam-runtime 1.0.1-5+lenny1 1.0.1-5+lenny1
2015-12-30 18:42:37 status unpacked libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:37 status unpacked libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:37 status unpacked libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:37 status half-configured libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:37 status installed libpam-runtime 1.0.1-5+lenny1
2015-12-30 18:42:37 configure gcc-4.3-base 4.3.2-1.1 4.3.2-1.1
2015-12-30 18:42:37 status unpacked gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:37 status half-configured gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:37 status installed gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:37 configure libc6 2.7-18lenny7 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:37 status half-configured libc6 2.7-18lenny7
2015-12-30 18:42:38 status installed libc6 2.7-18lenny7
2015-12-30 18:42:38 configure mktemp 1.5-9 1.5-9
2015-12-30 18:42:38 status unpacked mktemp 1.5-9
2015-12-30 18:42:38 status half-configured mktemp 1.5-9
2015-12-30 18:42:38 status installed mktemp 1.5-9
2015-12-30 18:42:38 configure debianutils 2.30 2.30
2015-12-30 18:42:38 status unpacked debianutils 2.30
2015-12-30 18:42:38 status half-configured debianutils 2.30
2015-12-30 18:42:38 status installed debianutils 2.30
2015-12-30 18:42:38 configure bsdutils 1:2.13.1.1-1 1:2.13.1.1-1
2015-12-30 18:42:38 status unpacked bsdutils 1:2.13.1.1-1
2015-12-30 18:42:38 status half-configured bsdutils 1:2.13.1.1-1
2015-12-30 18:42:38 status installed bsdutils 1:2.13.1.1-1
2015-12-30 18:42:38 configure libsepol1 2.0.30-2 2.0.30-2
2015-12-30 18:42:38 status unpacked libsepol1 2.0.30-2
2015-12-30 18:42:38 status half-configured libsepol1 2.0.30-2
2015-12-30 18:42:38 status installed libsepol1 2.0.30-2
2015-12-30 18:42:38 configure tar 1.20-1+lenny1 1.20-1+lenny1
2015-12-30 18:42:38 status unpacked tar 1.20-1+lenny1
2015-12-30 18:42:38 status unpacked tar 1.20-1+lenny1
2015-12-30 18:42:38 status half-configured tar 1.20-1+lenny1
2015-12-30 18:42:38 status installed tar 1.20-1+lenny1
2015-12-30 18:42:38 configure zlib1g 1:1.2.3.3.dfsg-12 1:1.2.3.3.dfsg-12
2015-12-30 18:42:38 status unpacked zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:38 status half-configured zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:38 status installed zlib1g 1:1.2.3.3.dfsg-12
2015-12-30 18:42:38 configure libgcc1 1:4.3.2-1.1 1:4.3.2-1.1
2015-12-30 18:42:38 status unpacked libgcc1 1:4.3.2-1.1
2015-12-30 18:42:38 status half-configured libgcc1 1:4.3.2-1.1
2015-12-30 18:42:39 status installed libgcc1 1:4.3.2-1.1
2015-12-30 18:42:39 configure libncurses5 5.7+20081213-1 5.7+20081213-1
2015-12-30 18:42:39 status unpacked libncurses5 5.7+20081213-1
2015-12-30 18:42:39 status half-configured libncurses5 5.7+20081213-1
2015-12-30 18:42:39 status installed libncurses5 5.7+20081213-1
2015-12-30 18:42:39 configure libattr1 1:2.4.43-2 1:2.4.43-2
2015-12-30 18:42:39 status unpacked libattr1 1:2.4.43-2
2015-12-30 18:42:39 status half-configured libattr1 1:2.4.43-2
2015-12-30 18:42:39 status installed libattr1 1:2.4.43-2
2015-12-30 18:42:39 configure sed 4.1.5-6 4.1.5-6
2015-12-30 18:42:39 status unpacked sed 4.1.5-6
2015-12-30 18:42:39 status half-configured sed 4.1.5-6
2015-12-30 18:42:39 status installed sed 4.1.5-6
2015-12-30 18:42:39 configure base-passwd 3.5.20 3.5.20
2015-12-30 18:42:39 status unpacked base-passwd 3.5.20
2015-12-30 18:42:39 status half-configured base-passwd 3.5.20
2015-12-30 18:42:39 status installed base-passwd 3.5.20
2015-12-30 18:42:39 configure libcomerr2 1.41.3-1 1.41.3-1
2015-12-30 18:42:39 status unpacked libcomerr2 1.41.3-1
2015-12-30 18:42:39 status half-configured libcomerr2 1.41.3-1
2015-12-30 18:42:39 status installed libcomerr2 1.41.3-1
2015-12-30 18:42:40 configure mawk 1.3.3-11.1 1.3.3-11.1
2015-12-30 18:42:40 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:40 status half-configured mawk 1.3.3-11.1
2015-12-30 18:42:40 status installed mawk 1.3.3-11.1
2015-12-30 18:42:40 configure libdb4.6 4.6.21-11 4.6.21-11
