2035-12-08 08:50:16 status half-configured gcc-4.3-base 4.3.2-1.1
2035-12-08 08:50:17 status installed gcc-4.3-base 4.3.2-1.1
2035-12-08 08:50:21 configure libc6 2.7-18lenny7 2.7-18lenny7
2035-12-08 08:50:21 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:23 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:24 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:25 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:27 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:28 status unpacked libc6 2.7-18lenny7
2035-12-08 08:50:29 status half-configured libc6 2.7-18lenny7
2035-12-08 08:50:57 status installed libc6 2.7-18lenny7
2035-12-08 08:50:58 configure mktemp 1.5-9 1.5-9
2035-12-08 08:50:58 status unpacked mktemp 1.5-9
2035-12-08 08:50:59 status half-configured mktemp 1.5-9
2035-12-08 08:51:01 status installed mktemp 1.5-9
2035-12-08 08:51:02 configure debianutils 2.30 2.30
2035-12-08 08:51:02 status unpacked debianutils 2.30
2035-12-08 08:51:03 status half-configured debianutils 2.30
2035-12-08 08:51:05 status installed debianutils 2.30
2035-12-08 08:51:06 configure bsdutils 1:2.13.1.1-1 1:2.13.1.1-1
2035-12-08 08:51:06 status unpacked bsdutils 1:2.13.1.1-1
2035-12-08 08:51:07 status half-configured bsdutils 1:2.13.1.1-1
2035-12-08 08:51:09 status installed bsdutils 1:2.13.1.1-1
2035-12-08 08:51:10 configure libsepol1 2.0.30-2 2.0.30-2
2035-12-08 08:51:10 status unpacked libsepol1 2.0.30-2
2035-12-08 08:51:11 status half-configured libsepol1 2.0.30-2
2035-12-08 08:51:15 status installed libsepol1 2.0.30-2
2035-12-08 08:51:16 configure libgcc1 1:4.3.2-1.1 1:4.3.2-1.1
2035-12-08 08:51:16 status unpacked libgcc1 1:4.3.2-1.1
2035-12-08 08:51:17 status half-configured libgcc1 1:4.3.2-1.1
2035-12-08 08:51:20 status installed libgcc1 1:4.3.2-1.1
2035-12-08 08:51:22 configure libncurses5 5.7+20081213-1 5.7+20081213-1
2035-12-08 08:51:22 status unpacked libncurses5 5.7+20081213-1
2035-12-08 08:51:32 status half-configured libncurses5 5.7+20081213-1
2035-12-08 08:51:35 status installed libncurses5 5.7+20081213-1
2035-12-08 08:51:37 configure libattr1 1:2.4.43-2 1:2.4.43-2
2035-12-08 08:51:37 status unpacked libattr1 1:2.4.43-2
2035-12-08 08:51:40 status half-configured libattr1 1:2.4.43-2
2035-12-08 08:51:43 status installed libattr1 1:2.4.43-2
2035-12-08 08:51:45 configure sed 4.1.5-6 4.1.5-6
2035-12-08 08:51:45 status unpacked sed 4.1.5-6
2035-12-08 08:51:47 status half-configured sed 4.1.5-6
2035-12-08 08:51:50 status installed sed 4.1.5-6
2035-12-08 08:51:52 configure base-passwd 3.5.20 3.5.20
2035-12-08 08:51:52 status unpacked base-passwd 3.5.20
2035-12-08 08:51:53 status half-configured base-passwd 3.5.20
2035-12-08 08:51:54 status installed base-passwd 3.5.20
2035-12-08 08:51:56 configure libcomerr2 1.41.3-1 1.41.3-1
2035-12-08 08:51:56 status unpacked libcomerr2 1.41.3-1
2035-12-08 08:51:57 status half-configured libcomerr2 1.41.3-1
2035-12-08 08:52:02 status installed libcomerr2 1.41.3-1
2035-12-08 08:52:10 configure mawk 1.3.3-11.1 1.3.3-11.1
2035-12-08 08:52:10 status unpacked mawk 1.3.3-11.1
2035-12-08 08:52:12 status half-configured mawk 1.3.3-11.1
2035-12-08 08:52:15 status installed mawk 1.3.3-11.1
2035-12-08 08:52:17 configure libdb4.6 4.6.21-11 4.6.21-11
2035-12-08 08:52:17 status unpacked libdb4.6 4.6.21-11
2035-12-08 08:52:18 status half-configured libdb4.6 4.6.21-11
2035-12-08 08:52:19 status installed libdb4.6 4.6.21-11
2035-12-08 08:52:21 configure grep 2.5.3~dfsg-6 2.5.3~dfsg-6
2035-12-08 08:52:21 status unpacked grep 2.5.3~dfsg-6
2035-12-08 08:52:22 status half-configured grep 2.5.3~dfsg-6
2035-12-08 08:52:25 status installed grep 2.5.3~dfsg-6
2035-12-08 08:52:26 configure hostname 2.95 2.95
2035-12-08 08:52:26 status unpacked hostname 2.95
2035-12-08 08:52:27 status half-configured hostname 2.95
2035-12-08 08:52:29 status installed hostname 2.95
